Instance Name,Cost
large_instance_01_FCR,115874
large_instance_02_FCR,127477
large_instance_03_FCR,138849
large_instance_04_FCR,123433
large_instance_05_FCR,131297
large_instance_06_FCR,128962
large_instance_07_FCR,131156
large_instance_08_FCR,136254
large_instance_09_FCR,139375
large_instance_10_FCR,110798
large_instance_11_FCR,125604
large_instance_12_FCR,131804
large_instance_13_FCR,125054
large_instance_14_FCR,133906
large_instance_15_FCR,128628
large_instance_16_FCR,136768
large_instance_17_FCR,132829
large_instance_18_FCR,141285
large_instance_19_FCR,126181
large_instance_20_FCR,128975
large_instance_21_FCR,131378
large_instance_22_FCR,124590
large_instance_23_FCR,121962
large_instance_24_FCR,129060
large_instance_25_FCR,118747
medium_instance_01_FCR,42691
medium_instance_02_FCR,44665
medium_instance_03_FCR,39063
medium_instance_04_FCR,43094
medium_instance_05_FCR,42242
medium_instance_06_FCR,46875
medium_instance_07_FCR,45454
medium_instance_08_FCR,46658
medium_instance_09_FCR,38346
medium_instance_10_FCR,43279
medium_instance_11_FCR,41444
medium_instance_12_FCR,43371
medium_instance_13_FCR,45545
medium_instance_14_FCR,48970
medium_instance_15_FCR,48870
medium_instance_16_FCR,41260
medium_instance_17_FCR,38663
medium_instance_18_FCR,48834
medium_instance_19_FCR,51499
medium_instance_20_FCR,42529
medium_instance_21_FCR,42722
medium_instance_22_FCR,45231
medium_instance_23_FCR,43811
medium_instance_24_FCR,41741
medium_instance_25_FCR,39743
small_instance_01_FCR,11279
small_instance_02_FCR,7250
small_instance_03_FCR,5941
small_instance_04_FCR,10554
small_instance_05_FCR,14211
small_instance_06_FCR,11683
small_instance_07_FCR,7831
small_instance_08_FCR,11480
small_instance_09_FCR,5092
small_instance_10_FCR,8739
small_instance_11_FCR,9887
small_instance_12_FCR,8045
small_instance_13_FCR,10949
small_instance_14_FCR,11448
small_instance_15_FCR,11941
small_instance_16_FCR,12898
small_instance_17_FCR,10190
small_instance_18_FCR,11122
small_instance_19_FCR,8300
small_instance_20_FCR,9658
small_instance_21_FCR,16867
small_instance_22_FCR,12592
small_instance_23_FCR,6643
small_instance_24_FCR,13337
small_instance_25_FCR,8685
