Instance Name,Cost
large_instance_01_FCD,87734
large_instance_02_FCD,97556
large_instance_03_FCD,109374
large_instance_04_FCD,98602
large_instance_05_FCD,102055
large_instance_06_FCD,104575
large_instance_07_FCD,105673
large_instance_08_FCD,108574
large_instance_09_FCD,103015
large_instance_10_FCD,82713
large_instance_11_FCD,96485
large_instance_12_FCD,103691
large_instance_13_FCD,96120
large_instance_14_FCD,107913
large_instance_15_FCD,103324
large_instance_16_FCD,108564
large_instance_17_FCD,108017
large_instance_18_FCD,119367
large_instance_19_FCD,96104
large_instance_20_FCD,96719
large_instance_21_FCD,98438
large_instance_22_FCD,85623
large_instance_23_FCD,98413
large_instance_24_FCD,102655
large_instance_25_FCD,92300
medium_instance_01_FCD,33540
medium_instance_02_FCD,36154
medium_instance_03_FCD,33821
medium_instance_04_FCD,33023
medium_instance_05_FCD,32239
medium_instance_06_FCD,36821
medium_instance_07_FCD,33631
medium_instance_08_FCD,38529
medium_instance_09_FCD,27169
medium_instance_10_FCD,34996
medium_instance_11_FCD,33413
medium_instance_12_FCD,34916
medium_instance_13_FCD,34028
medium_instance_14_FCD,38901
medium_instance_15_FCD,38305
medium_instance_16_FCD,31664
medium_instance_17_FCD,29469
medium_instance_18_FCD,39188
medium_instance_19_FCD,42988
medium_instance_20_FCD,31438
medium_instance_21_FCD,31132
medium_instance_22_FCD,35529
medium_instance_23_FCD,34168
medium_instance_24_FCD,28704
medium_instance_25_FCD,29617
small_instance_01_FCD,9274
small_instance_02_FCD,6158
small_instance_03_FCD,5130
small_instance_04_FCD,9336
small_instance_05_FCD,11474
small_instance_06_FCD,9395
small_instance_07_FCD,5691
small_instance_08_FCD,9408
small_instance_09_FCD,2717
small_instance_10_FCD,6670
small_instance_11_FCD,8005
small_instance_12_FCD,6161
small_instance_13_FCD,8386
small_instance_14_FCD,9169
small_instance_15_FCD,9827
small_instance_16_FCD,10845
small_instance_17_FCD,7723
small_instance_18_FCD,9883
small_instance_19_FCD,6784
small_instance_20_FCD,7374
small_instance_21_FCD,14058
small_instance_22_FCD,10427
small_instance_23_FCD,3937
small_instance_24_FCD,11647
small_instance_25_FCD,6818
